"Month","Billing country","Orders","Gross sales","Discounts","Returns","Net sales","Shipping charges","Taxes","Total sales"
"2026-01-01","United States",1,42,0,0,42,19.95,0,61.95
"2026-01-01","Portugal",1,61,0,0,61,9.95,0,70.95
"2026-02-01","Croatia",1,106.3,0,0,106.3,0,17.7,124
"2026-02-01","Spain",1,38.53,0,0,38.53,9.13,4.29,51.95
"2026-02-01","Italy",1,84,-84,0,0,9.13,0.82,9.95
"2026-02-01","United States",1,124,0,0,124,19.95,0,143.95
"2026-02-01","Netherlands",7,402.66,0,0,402.66,13.62,39.57,455.85
"2026-02-01","Germany",1,38.53,0,0,38.53,9.13,4.29,51.95
"2026-03-01","Netherlands",8,554.63,0,0,554.63,13.17,58.05,625.85
"2026-03-01","Cyprus",1,77.06,0,0,77.06,9.13,7.76,93.95
"2026-03-01","United Kingdom",2,346,0,0,346,39.9,0,385.9
"2026-03-01","France",1,45.97,0,0,45.97,17.98,7,70.95
"2026-03-01","Belgium",1,38.53,0,0,38.53,9.13,4.29,51.95
"2026-03-01","United States",1,42,0,0,42,19.95,0,61.95
"2026-03-01","Germany",1,376.85,0,0,376.85,8.95,43.15,428.95
"2026-04-01","United States",1,38.53,0,0,38.53,4.54,3.88,46.95
"2026-04-01","Netherlands",5,231.18,0,0,231.18,18.16,22.46,271.8
"2026-04-01","Germany",4,225.71,0,0,225.71,36.08,28.01,289.8
"2026-04-01","Austria",1,38.53,0,0,38.53,9.13,4.29,51.95
"2026-04-01","Belgium",1,45.97,0,0,45.97,8.97,6.01,60.95
"2026-04-01","United Kingdom",1,42,0,0,42,19.95,0,61.95
"2026-04-01","Romania",1,38.53,0,0,38.53,9.13,4.29,51.95
"2026-04-01","Poland",1,77.06,0,0,77.06,9.13,7.76,93.95
"2026-04-01","Denmark",2,192.65,0,0,192.65,13.67,18.58,224.9
"2026-04-01","Spain",1,38.53,0,0,38.53,9.13,4.29,51.95
"2026-05-01","Spain",1,115.6,0,0,115.6,9.13,11.22,135.95
"2026-05-01","France",1,77.06,0,0,77.06,9.13,7.76,93.95
"2026-05-01","Portugal",1,38.53,0,0,38.53,9.13,4.29,51.95
"2026-05-01","Japan",1,42,0,0,42,19.95,0,61.95
"2026-05-01","Germany",5,269.71,0,0,269.71,45.65,28.39,343.75
"2026-05-01","Netherlands",8,431.27,0,0,431.27,18.16,41.37,490.8
