date,month,account_code,account_name,category,dashboard_group,is_pl,description,invoice_number,debit,credit,net_amount,journal_code,journal_name,vat_pct,year_file
2023-12-14,2023-12,4290,Overige huisvestingskosten,Occupancy – Other,Occupancy,True,de Sleutelkluis,BON_20231214_9849,34.71,0.0,34.71,1600,Crediteuren,21,0
2023-12-14,2023-12,4606,Contributies en abonnementen,SG&A – Subscriptions,SG&A,True,Asana,INVEU10290644,33.45,0.0,33.45,1600,Crediteuren,21,0
2023-12-17,2023-12,1100,Rekening-courant bank,,,False,Hrybov & Gritz Holding B.V. Loan agreement deel 1,,67904.1,0.0,67904.1,1100,Rekening-courant bank,0,0
2023-12-17,2023-12,555,Lening Hrybov & Gritz Holding B.V.,,,False,Hrybov & Gritz Holding B.V. Loan agreement deel 1,,0.0,67904.1,-67904.1,1100,Rekening-courant bank,0,0
2023-12-20,2023-12,1600,Crediteuren,,,False,Mills v Machine,202312-104,0.0,21780.0,-21780.0,1600,Crediteuren,0,0
2023-12-20,2023-12,1600,Crediteuren,,,False,Ekaterina Shcheblykina,2023-2,0.0,2160.0,-2160.0,1600,Crediteuren,0,0
2023-12-20,2023-12,1680,Btw te vorderen hoog (inkopen),,,False,Mills v Machine,202312-104,3780.0,0.0,3780.0,1600,Crediteuren,21,0
2023-12-20,2023-12,37,Inventaris verkrijgingsprijs,,,False,Mills v Machine,202312-104,18000.0,0.0,18000.0,1600,Crediteuren,21,0
2023-12-20,2023-12,4704,Overige advieskosten,SG&A – Professional Services,SG&A,True,Ekaterina Shcheblykina,2023-2,2160.0,0.0,2160.0,1600,Crediteuren,0,0
2023-12-22,2023-12,1100,Rekening-courant bank,,,False,Anvar Kulakhmedov Graphic Design - Lera World,,0.0,1950.0,-1950.0,1100,Rekening-courant bank,0,0
2023-12-22,2023-12,1100,Rekening-courant bank,,,False,Kamer van Koophandel 232869549,,0.0,75.0,-75.0,1100,Rekening-courant bank,0,0
2023-12-22,2023-12,1100,Rekening-courant bank,,,False,Ekaterina Shcheblykina Invoice 2023-2,,0.0,2160.0,-2160.0,1100,Rekening-courant bank,0,0
2023-12-22,2023-12,1100,Rekening-courant bank,,,False,BENVALOR Invoice number: 20231721,,0.0,1388.48,-1388.48,1100,Rekening-courant bank,0,0
2023-12-22,2023-12,1600,Crediteuren,,,False,Anvar Kulakhmedov Graphic Design - Lera World,91976693,1950.0,0.0,1950.0,1100,Rekening-courant bank,0,0
2023-12-22,2023-12,1600,Crediteuren,,,False,Kamer van Koophandel 232869549,1072,75.0,0.0,75.0,1100,Rekening-courant bank,0,0
2023-12-22,2023-12,1600,Crediteuren,,,False,Ekaterina Shcheblykina Invoice 2023-2,2023-2,2160.0,0.0,2160.0,1100,Rekening-courant bank,0,0
2023-12-22,2023-12,1600,Crediteuren,,,False,BENVALOR Invoice number: 20231721,20231721,1388.48,0.0,1388.48,1100,Rekening-courant bank,0,0
2023-12-22,2023-12,1600,Crediteuren,,,False,Anvar Kulakhmedov,91976693,0.0,1950.0,-1950.0,1600,Crediteuren,0,0
2023-12-22,2023-12,7021,Inkopen Retail buiten EU hoog,COGS – Retail & Other,COGS,True,Leverancier onbekend,91976693,1950.0,0.0,1950.0,1600,Crediteuren,0,0
2023-12-24,2023-12,1100,Rekening-courant bank,,,False,N Nenadic Project Management - LERA construction,,0.0,2500.0,-2500.0,1100,Rekening-courant bank,0,0
2023-12-24,2023-12,1600,Crediteuren,,,False,N Nenadic Project Management - LERA construction,2024-0001,2500.0,0.0,2500.0,1100,Rekening-courant bank,0,0
2023-12-25,2023-12,1100,Rekening-courant bank,,,False,"UAB Proneksas Construction LERA WORLD, prepayment, as per contract",,0.0,20000.0,-20000.0,1100,Rekening-courant bank,0,0
2023-12-25,2023-12,1600,Crediteuren,,,False,"UAB Proneksas Construction LERA WORLD, prepayment, as per contract",2024/005,20000.0,0.0,20000.0,1100,Rekening-courant bank,0,0
2023-12-27,2023-12,1600,Crediteuren,,,False,B.V. Centraal Huizen Beheer,24.01.00117,0.0,5243.33,-5243.33,1600,Crediteuren,0,0
2023-12-27,2023-12,1680,Btw te vorderen hoog (inkopen),,,False,B.V. Centraal Huizen Beheer,24.01.00117,910.0,0.0,910.0,1600,Crediteuren,21,0
2023-12-27,2023-12,4203,Betaalde huur,Occupancy – Rent,Occupancy,True,B.V. Centraal Huizen Beheer,24.01.00117,4333.33,0.0,4333.33,1600,Crediteuren,21,0
2023-12-29,2023-12,1100,Rekening-courant bank,,,False,"Valeriia Arsonova compensation for Asana monthly subsription, invoice number: INVEU10290644, paid by V. Arsonova on December 14th, 2023",,0.0,40.47,-40.47,1100,Rekening-courant bank,0,0
2023-12-29,2023-12,1100,Rekening-courant bank,,,False,"Valeriia Arsonova compensation for Asana monthly subsription, invoice number: INVEU10274227, paid by V. Arsonova on November 14th, 2023",,0.0,40.47,-40.47,1100,Rekening-courant bank,0,0
2023-12-29,2023-12,1100,Rekening-courant bank,,,False,Faire Wholesale VGZF863PSV53CH52VYTV 0180336338135987 il 9wjmgumfy7,,0.0,0.01,-0.01,1100,Rekening-courant bank,0,0
2023-12-29,2023-12,1100,Rekening-courant bank,,,False,Faire Wholesale MRL654W8XMWG4FG2VYTV 0180336338057571 il ufggv3bvt3,,0.0,0.01,-0.01,1100,Rekening-courant bank,0,0
2023-12-29,2023-12,1100,Rekening-courant bank,,,False,"Valeriia Arsonova compensation for key duplicates at De Sleutelkluis, receipt number: 142540, paid by V. Arsonova on December 14th, 2023",,0.0,42.0,-42.0,1100,Rekening-courant bank,0,0
2023-12-29,2023-12,1200,Kruisposten,,,False,Faire Wholesale VGZF863PSV53CH52VYTV 0180336338135987 il 9wjmgumfy7,,0.01,0.0,0.01,1100,Rekening-courant bank,0,0
2023-12-29,2023-12,1200,Kruisposten,,,False,Faire Wholesale MRL654W8XMWG4FG2VYTV 0180336338057571 il ufggv3bvt3,,0.01,0.0,0.01,1100,Rekening-courant bank,0,0
2023-12-29,2023-12,1600,Crediteuren,,,False,"Valeriia Arsonova compensation for Asana monthly subsription, invoice number: INVEU10290644, paid by V. Arsonova on December 14th, 2023",INVEU10290644,40.47,0.0,40.47,1100,Rekening-courant bank,0,0
2023-12-29,2023-12,1600,Crediteuren,,,False,"Valeriia Arsonova compensation for Asana monthly subsription, invoice number: INVEU10274227, paid by V. Arsonova on November 14th, 2023",A01408347,40.47,0.0,40.47,1100,Rekening-courant bank,0,0
2023-12-29,2023-12,1600,Crediteuren,,,False,"Valeriia Arsonova compensation for key duplicates at De Sleutelkluis, receipt number: 142540, paid by V. Arsonova on December 14th, 2023",BON_20231214_9849,42.0,0.0,42.0,1100,Rekening-courant bank,0,0
2023-12-29,2023-12,1600,Crediteuren,,,False,Image Building B.V.,23303932,0.0,1270.5,-1270.5,1600,Crediteuren,0,0
2023-12-29,2023-12,1680,Btw te vorderen hoog (inkopen),,,False,Image Building B.V.,23303932,220.5,0.0,220.5,1600,Crediteuren,21,0
2023-12-29,2023-12,4400,Reclame- en advertentiekosten,SG&A – Marketing,SG&A,True,Image Building B.V.,23303932,1050.0,0.0,1050.0,1600,Crediteuren,21,0
2023-12-30,2023-12,1100,Rekening-courant bank,,,False,APPLE STORE R408 AMSTERDAM NLD 29-12-2023 10:16 PASVOLGNR: 001 TRANSACTIENR: B90001,,0.0,1500.0,-1500.0,1100,Rekening-courant bank,0,0
2023-12-30,2023-12,1600,Crediteuren,,,False,APPLE STORE R408 AMSTERDAM NLD 29-12-2023 10:16 PASVOLGNR: 001 TRANSACTIENR: B90001,BON_20240112_8252,1500.0,0.0,1500.0,1100,Rekening-courant bank,0,0
2023-12-31,2023-12,1100,Rekening-courant bank,,,False,GO DADDY EUROPE LIMITED X4F2QG76BRV4K472JFC0 0180336520623448 2868928845 v1 5n/Ix6nGT1K4VRsPXA,,0.0,64.47,-64.47,1100,Rekening-courant bank,0,0
2023-12-31,2023-12,1600,Crediteuren,,,False,GO DADDY EUROPE LIMITED X4F2QG76BRV4K472JFC0 0180336520623448 2868928845 v1 5n/Ix6nGT1K4VRsPXA,2868928845,64.47,0.0,64.47,1100,Rekening-courant bank,0,0
2023-12-31,2023-12,1600,Crediteuren,,,False,"GoDaddy.com, LLC",2868928845,0.0,64.47,-64.47,1600,Crediteuren,0,0
2023-12-31,2023-12,1680,Btw te vorderen hoog (inkopen),,,False,"GoDaddy.com, LLC",2868928845,11.19,0.0,11.19,1600,Crediteuren,21,0
2023-12-31,2023-12,1680,Btw te vorderen hoog (inkopen),,,False,BTW naar 1 rekening,,0.0,5358.48,-5358.48,2011,Tussenrekening memoriaal,0,0
2023-12-31,2023-12,1685,Te betalen btw vorige jaren,,,False,BTW naar 1 rekening,,5359.0,0.0,5359.0,2011,Tussenrekening memoriaal,0,0
2023-12-31,2023-12,2011,Tussenrekening memoriaal,,,False,BTW naar 1 rekening,,0.0,0.0,0.0,2011,Tussenrekening memoriaal,0,0
2023-12-31,2023-12,2011,Tussenrekening memoriaal,,,False,Resultaat 2023,,0.0,0.0,0.0,2011,Tussenrekening memoriaal,0,0
2023-12-31,2023-12,4606,Contributies en abonnementen,SG&A – Subscriptions,SG&A,True,"GoDaddy.com, LLC",2868928845,53.28,0.0,53.28,1600,Crediteuren,21,0
2023-12-31,2023-12,4756,Betalingsverschillen,SG&A – Other,SG&A,True,BTW naar 1 rekening,,0.0,0.52,-0.52,2011,Tussenrekening memoriaal,0,0
2023-12-31,2023-12,652,Winstreserve,,,False,Resultaat 2023,,11701.07,0.0,11701.07,2011,Tussenrekening memoriaal,0,0
2023-12-31,2023-12,9998,Resultaat,,,False,Resultaat 2023,,0.0,11701.07,-11701.07,2011,Tussenrekening memoriaal,0,0
2024-01-01,2024-01,1100,Rekening-courant bank,,,False,Beginbalans,,38143.19,0.0,38143.19,2010,Tussenrekening balans,0,0
2024-01-01,2024-01,1200,Kruisposten,,,False,Beginbalans,,0.02,0.0,0.02,2010,Tussenrekening balans,0,0
2024-01-01,2024-01,1600,Crediteuren,,,False,Ekaterina Shcheblykina,12167,0.0,3690.0,-3690.0,1600,Crediteuren,0,0
2024-01-01,2024-01,1600,Crediteuren,,,False,B.V. Centraal Huizen Beheer,BON_00010101_6497,0.0,15730.0,-15730.0,1600,Crediteuren,0,0
2024-01-01,2024-01,1600,Crediteuren,,,False,Ekaterina Shcheblykina,2023-1,0.0,2200.0,-2200.0,1600,Crediteuren,0,0
2024-01-01,2024-01,1600,Crediteuren,,,False,Anvar Kulakhmedov,03.11.2023,0.0,1650.0,-1650.0,1600,Crediteuren,0,0
2024-01-01,2024-01,1600,Crediteuren,,,False,Anvar Kulakhmedov,09.10.2023,0.0,950.0,-950.0,1600,Crediteuren,0,0
2024-01-01,2024-01,1600,Crediteuren,,,False,Gemeente Amsterdam,BON_20240101_5293,0.0,300.0,-300.0,1600,Crediteuren,0,0
2024-01-01,2024-01,1600,Crediteuren,,,False,Beginbalans,,0.0,5299.18,-5299.18,2010,Tussenrekening balans,0,0
2024-01-01,2024-01,1685,Te betalen btw vorige jaren,,,False,Beginbalans,,5359.0,0.0,5359.0,2010,Tussenrekening balans,0,0
2024-01-01,2024-01,2010,Tussenrekening balans,,,False,Beginbalans,,0.0,0.0,0.0,2010,Tussenrekening balans,0,0
2024-01-01,2024-01,37,Inventaris verkrijgingsprijs,,,False,Beginbalans,,18000.0,0.0,18000.0,2010,Tussenrekening balans,0,0
2024-01-01,2024-01,377,Waarborgsommen (langlopend),,,False,B.V. Centraal Huizen Beheer,BON_00010101_6497,15730.0,0.0,15730.0,1600,Crediteuren,0,0
2024-01-01,2024-01,4290,Overige huisvestingskosten,Occupancy – Other,Occupancy,True,Gemeente Amsterdam,BON_20240101_5293,300.0,0.0,300.0,1600,Crediteuren,0,0
2024-01-01,2024-01,555,Lening Hrybov & Gritz Holding B.V.,,,False,Beginbalans,,0.0,67904.1,-67904.1,2010,Tussenrekening balans,0,0
2024-01-01,2024-01,652,Winstreserve,,,False,Beginbalans,,11701.07,0.0,11701.07,2010,Tussenrekening balans,0,0
2024-01-01,2024-01,7014,Overige advieskosten Binnen EU,SG&A – Professional Services,SG&A,True,Ekaterina Shcheblykina,12167,3690.0,0.0,3690.0,1600,Crediteuren,0,0
2024-01-01,2024-01,7014,Overige advieskosten Binnen EU,SG&A – Professional Services,SG&A,True,Ekaterina Shcheblykina,2023-1,2200.0,0.0,2200.0,1600,Crediteuren,0,0
2024-01-01,2024-01,7014,Overige advieskosten Binnen EU,SG&A – Professional Services,SG&A,True,Anvar Kulakhmedov,09.10.2023,950.0,0.0,950.0,1600,Crediteuren,0,0
2024-01-01,2024-01,7014,Overige advieskosten Binnen EU,SG&A – Professional Services,SG&A,True,Leverancier onbekend,03.11.2023,1650.0,0.0,1650.0,1600,Crediteuren,0,0
2024-01-02,2024-01,1100,Rekening-courant bank,,,False,Faire TX1493530230XT Refund for Faire ref:il?9wjmgumfy7,,0.01,0.0,0.01,1100,Rekening-courant bank,0,0
2024-01-02,2024-01,1100,Rekening-courant bank,,,False,Faire TX1493531530XT Refund for Faire ref:il?ufggv3bvt3,,0.01,0.0,0.01,1100,Rekening-courant bank,0,0
2024-01-02,2024-01,1200,Kruisposten,,,False,Faire TX1493530230XT Refund for Faire ref:il?9wjmgumfy7,,0.0,0.01,-0.01,1100,Rekening-courant bank,0,0
2024-01-02,2024-01,1200,Kruisposten,,,False,Faire TX1493531530XT Refund for Faire ref:il?ufggv3bvt3,,0.0,0.01,-0.01,1100,Rekening-courant bank,0,0
2024-01-03,2024-01,1100,Rekening-courant bank,,,False,Badkamerwinkel.nl via Stichting Mollie Payments M13708461MJ0RR24 1152193874016056 10841509 badkamerwinkel.nl,,0.0,801.82,-801.82,1100,Rekening-courant bank,0,0
2024-01-03,2024-01,1100,Rekening-courant bank,,,False,Image Building Invoice 23303932,,0.0,1270.5,-1270.5,1100,Rekening-courant bank,0,0
2024-01-03,2024-01,1100,Rekening-courant bank,,,False,iSi GmbH K3BDNC37NK5SGHG2O5XM 0180400326127556 17522824,,0.0,930.5,-930.5,1100,Rekening-courant bank,0,0
2024-01-03,2024-01,1100,Rekening-courant bank,,,False,Internorm RVS BV by Buckaroo ORD202400001 1030000829017004 Order ?ORD202400001,,0.0,2029.17,-2029.17,1100,Rekening-courant bank,0,0
2024-01-03,2024-01,1100,Rekening-courant bank,,,False,"Mw V Arsonova share capital, Arsonova",,2200.0,0.0,2200.0,1100,Rekening-courant bank,0,0
2024-01-03,2024-01,1600,Crediteuren,,,False,Badkamerwinkel.nl via Stichting Mollie Payments M13708461MJ0RR24 1152193874016056 10841509 badkamerwinkel.nl,10841509f1,801.82,0.0,801.82,1100,Rekening-courant bank,0,0
2024-01-03,2024-01,1600,Crediteuren,,,False,Image Building Invoice 23303932,23303932,1270.5,0.0,1270.5,1100,Rekening-courant bank,0,0
2024-01-03,2024-01,1600,Crediteuren,,,False,iSi GmbH K3BDNC37NK5SGHG2O5XM 0180400326127556 17522824,17522824,930.5,0.0,930.5,1100,Rekening-courant bank,0,0
2024-01-03,2024-01,1600,Crediteuren,,,False,Internorm RVS BV by Buckaroo ORD202400001 1030000829017004 Order ?ORD202400001,BON_20240103_6631,2029.17,0.0,2029.17,1100,Rekening-courant bank,0,0
2024-01-03,2024-01,1600,Crediteuren,,,False,Internorm,BON_20240103_6631,0.0,2205.22,-2205.22,1600,Crediteuren,0,0
2024-01-03,2024-01,1600,Crediteuren,,,False,Electrijck,20240001,0.0,4840.0,-4840.0,1600,Crediteuren,0,0
2024-01-03,2024-01,1600,Crediteuren,,,False,IGM Online B.V.,10841509f1,0.0,801.82,-801.82,1600,Crediteuren,0,0
2024-01-03,2024-01,1680,Btw te vorderen hoog (inkopen),,,False,Internorm,BON_20240103_6631,382.72,0.0,382.72,1600,Crediteuren,21,0
2024-01-03,2024-01,1680,Btw te vorderen hoog (inkopen),,,False,Electrijck,20240001,840.0,0.0,840.0,1600,Crediteuren,21,0
2024-01-03,2024-01,1680,Btw te vorderen hoog (inkopen),,,False,IGM Online B.V.,10841509f1,139.16,0.0,139.16,1600,Crediteuren,21,0
2024-01-03,2024-01,28,Verbouwingen verkrijgingsprijs,,,False,Electrijck,20240001,4000.0,0.0,4000.0,1600,Crediteuren,21,0
2024-01-03,2024-01,28,Verbouwingen verkrijgingsprijs,,,False,IGM Online B.V.,10841509f1,662.66,0.0,662.66,1600,Crediteuren,21,0
2024-01-03,2024-01,37,Inventaris verkrijgingsprijs,,,False,Internorm,BON_20240103_6631,1822.5,0.0,1822.5,1600,Crediteuren,21,0
2024-01-03,2024-01,650,Aandelenkapitaal,,,False,"Mw V Arsonova share capital, Arsonova",,0.0,2200.0,-2200.0,1100,Rekening-courant bank,0,0
2024-01-05,2024-01,1100,Rekening-courant bank,,,False,Electrijck 20240001,,0.0,4840.0,-4840.0,1100,Rekening-courant bank,0,0
2024-01-05,2024-01,1100,Rekening-courant bank,,,False,KLM TX23ZKFZ79PDPK52JG0H 0180400543125810 Airline,,0.0,166.04,-166.04,1100,Rekening-courant bank,0,0
2024-01-05,2024-01,1600,Crediteuren,,,False,Electrijck 20240001,20240001,4840.0,0.0,4840.0,1100,Rekening-courant bank,0,0
2024-01-05,2024-01,1600,Crediteuren,,,False,KLM TX23ZKFZ79PDPK52JG0H 0180400543125810 Airline,KLNL0021609251,166.04,0.0,166.04,1100,Rekening-courant bank,0,0
2024-01-07,2024-01,1100,Rekening-courant bank,,,False,Bunq B.V. br6e6c9q 0140000834067249 NL38BUNQ2083994620 N. Nenadic,,0.0,250.0,-250.0,1100,Rekening-courant bank,0,0
2024-01-07,2024-01,1600,Crediteuren,,,False,Bunq B.V. br6e6c9q 0140000834067249 NL38BUNQ2083994620 N. Nenadic,24550120,250.0,0.0,250.0,1100,Rekening-courant bank,0,0
2024-01-08,2024-01,1100,Rekening-courant bank,,,False,GO DADDY EUROPE LIMITED F2W6572SRB9DRMG2JFC0 0180400833626473 2880158221 v1 5n/Ix6nGT1K4VRsPXA,,0.0,64.47,-64.47,1100,Rekening-courant bank,0,0
2024-01-08,2024-01,1600,Crediteuren,,,False,GO DADDY EUROPE LIMITED F2W6572SRB9DRMG2JFC0 0180400833626473 2880158221 v1 5n/Ix6nGT1K4VRsPXA,2880158221,64.47,0.0,64.47,1100,Rekening-courant bank,0,0
2024-01-08,2024-01,1600,Crediteuren,,,False,"GoDaddy.com, LLC",2880158221,0.0,64.47,-64.47,1600,Crediteuren,0,0
2024-01-08,2024-01,1600,Crediteuren,,,False,Manisante,24060,0.0,125.93,-125.93,1600,Crediteuren,0,0
2024-01-08,2024-01,1600,Crediteuren,,,False,Gentlemindflow,2024-004,0.0,2004.5,-2004.5,1600,Crediteuren,0,0
2024-01-08,2024-01,4606,Contributies en abonnementen,SG&A – Subscriptions,SG&A,True,"GoDaddy.com, LLC",2880158221,64.47,0.0,64.47,1600,Crediteuren,0,0
2024-01-08,2024-01,7011,Inkopen Retail binnen EU hoog,COGS – Retail & Other,COGS,True,Manisante,24060,125.93,0.0,125.93,1600,Crediteuren,0,0
2024-01-08,2024-01,7100,Kosten uitbesteed werk,Labor – Freelancers,Labor,True,Gentlemindflow,2024-004,2004.5,0.0,2004.5,1600,Crediteuren,0,0
2024-01-10,2024-01,1100,Rekening-courant bank,,,False,Faire Wholesale by Adyen Faire Manisante,,0.0,125.93,-125.93,1100,Rekening-courant bank,0,0
2024-01-10,2024-01,1100,Rekening-courant bank,,,False,Benvalor 20231593,,0.0,726.3,-726.3,1100,Rekening-courant bank,0,0
2024-01-10,2024-01,1600,Crediteuren,,,False,Faire Wholesale by Adyen Faire Manisante,24060,125.93,0.0,125.93,1100,Rekening-courant bank,0,0
2024-01-10,2024-01,1600,Crediteuren,,,False,Benvalor 20231593,20231593,726.3,0.0,726.3,1100,Rekening-courant bank,0,0
2024-01-10,2024-01,1600,Crediteuren,,,False,Gentlemindflow,2024-006,0.0,1339.5,-1339.5,1600,Crediteuren,0,0
2024-01-10,2024-01,7100,Kosten uitbesteed werk,Labor – Freelancers,Labor,True,Gentlemindflow,2024-006,1339.5,0.0,1339.5,1600,Crediteuren,0,0
2024-01-11,2024-01,1100,Rekening-courant bank,,,False,Benvalor 20231593,,0.0,36.0,-36.0,1100,Rekening-courant bank,0,0
2024-01-11,2024-01,1100,Rekening-courant bank,,,False,Liander 8756405 0370986287198691 shop.liander.nl MA1002453717,,0.0,332.14,-332.14,1100,Rekening-courant bank,0,0
2024-01-11,2024-01,1100,Rekening-courant bank,,,False,Yessential B.V. via Stichting Mollie Payments M06945751MJ3UZBA 1152132468345987 Order 374571 yessential.nl,,0.0,129.9,-129.9,1100,Rekening-courant bank,0,0
2024-01-11,2024-01,1100,Rekening-courant bank,,,False,Hygiene-shop.nl via Stichting Mollie Payments M03036694MJ3X2PY 1152193228793471 Transaction 170500388086155c57,,0.0,1158.12,-1158.12,1100,Rekening-courant bank,0,0
2024-01-11,2024-01,1200,Kruisposten,,,False,Hygiene-shop.nl via Stichting Mollie Payments M03036694MJ3X2PY 1152193228793471 Transaction 170500388086155c57,,1158.12,0.0,1158.12,1100,Rekening-courant bank,0,0
2024-01-11,2024-01,1600,Crediteuren,,,False,Benvalor 20231593,20231593,36.0,0.0,36.0,1100,Rekening-courant bank,0,0
2024-01-11,2024-01,1600,Crediteuren,,,False,Liander 8756405 0370986287198691 shop.liander.nl MA1002453717,94659312,332.14,0.0,332.14,1100,Rekening-courant bank,0,0
2024-01-11,2024-01,1600,Crediteuren,,,False,Yessential B.V. via Stichting Mollie Payments M06945751MJ3UZBA 1152132468345987 Order 374571 yessential.nl,YES2024-1734,129.9,0.0,129.9,1100,Rekening-courant bank,0,0
2024-01-11,2024-01,1600,Crediteuren,,,False,Yessential B.V.,YES2024-1734,0.0,129.9,-129.9,1600,Crediteuren,0,0
2024-01-11,2024-01,1600,Crediteuren,,,False,Pomelo+Co,176,0.0,122.45,-122.45,1600,Crediteuren,0,0
2024-01-11,2024-01,1680,Btw te vorderen hoog (inkopen),,,False,Yessential B.V.,YES2024-1734,22.55,0.0,22.55,1600,Crediteuren,21,0
2024-01-11,2024-01,4303,Kleine aanschaffingen inventaris,SG&A – Equipment & Repairs,SG&A,True,Yessential B.V.; Tygo RVS WC Set (no-drill),YES2024-1734,107.35,0.0,107.35,1600,Crediteuren,21,0
2024-01-11,2024-01,7011,Inkopen Retail binnen EU hoog,COGS – Retail & Other,COGS,True,Pomelo+Co,176,122.45,0.0,122.45,1600,Crediteuren,0,0
2024-01-12,2024-01,1100,Rekening-courant bank,,,False,"I nikitina Hotel - Ekaterina, paid by provate credit card",,0.0,282.0,-282.0,1100,Rekening-courant bank,0,0
2024-01-12,2024-01,1600,Crediteuren,,,False,"I nikitina Hotel - Ekaterina, paid by provate credit card",146949,282.0,0.0,282.0,1100,Rekening-courant bank,0,0
2024-01-12,2024-01,1600,Crediteuren,,,False,Apple Retail Netherlands B.V.,BON_20240112_8252,0.0,1599.0,-1599.0,1600,Crediteuren,0,0
2024-01-12,2024-01,1600,Crediteuren,,,False,Liander N.V.,94659312,0.0,332.14,-332.14,1600,Crediteuren,0,0
2024-01-12,2024-01,1680,Btw te vorderen hoog (inkopen),,,False,Apple Retail Netherlands B.V.,BON_20240112_8252,277.51,0.0,277.51,1600,Crediteuren,21,0
2024-01-12,2024-01,1680,Btw te vorderen hoog (inkopen),,,False,Liander N.V.,94659312,57.64,0.0,57.64,1600,Crediteuren,21,0
2024-01-12,2024-01,37,Inventaris verkrijgingsprijs,,,False,Apple Retail Netherlands B.V.,BON_20240112_8252,1321.49,0.0,1321.49,1600,Crediteuren,21,0
2024-01-12,2024-01,4207,Onderhoud gebouwen,Occupancy – Maintenance,Occupancy,True,Liander N.V.,94659312,274.5,0.0,274.5,1600,Crediteuren,21,0
2024-01-14,2024-01,1100,Rekening-courant bank,,,False,Tikkie 000767998656 0030015912854024 Nenadic NL67ABNA0248275607 Tikkie,,0.0,65.0,-65.0,1100,Rekening-courant bank,0,0
2024-01-14,2024-01,1100,Rekening-courant bank,,,False,Tikkie 000767998948 0030015912855090 Nenadic NL67ABNA0248275607 Tikkie,,0.0,99.0,-99.0,1100,Rekening-courant bank,0,0
2024-01-14,2024-01,1100,Rekening-courant bank,,,False,GAMMA FC4ZJW8HPZ2NQPB2JFVK 0180401444629304 220001038475,,0.0,1045.0,-1045.0,1100,Rekening-courant bank,0,0
2024-01-14,2024-01,1600,Crediteuren,,,False,Tikkie 000767998656 0030015912854024 Nenadic NL67ABNA0248275607 Tikkie,2024-0002,65.0,0.0,65.0,1100,Rekening-courant bank,0,0
