section,subsection,account_code,line_item,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,TOTAL
COGS,Food & Bev – Kiosk,7001,Food & Bev Kiosk (Low VAT),0.0,163.8,97.9,14113.77,10319.59,9382.18,4149.88,6223.15,5109.36,7838.81,6173.42,7961.52,5085.1,7463.23,7663.82,10226.72,7091.02,8526.93,6342.44,8505.06,7839.66,7647.85,6777.72,7269.87,3248.55,5535.07,6911.18,10999.23,1548.93,2945.73,193161.49
COGS,Food & Bev – Kiosk,7004,Food & Bev Kiosk (High VAT),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.88,0.0,0.0,247.44,0.0,0.0,455.2,0.0,249.84,287.72,0.0,100.77,355.68,0.0,0.0,0.0,257.34,30.78,0.0,0.0,0.0,2211.65
COGS,Matcha,7024,Matcha Tools Import,0.0,0.0,0.0,0.0,144.39,1349.71,285.0,369.98,509.76,77.64,635.49,496.84,1549.21,0.0,0.0,1141.67,2228.58,0.0,0.0,0.0,0.0,85.27,1133.34,1349.73,0.0,0.0,0.0,601.23,807.69,0.0,12765.53
COGS,Retail & Other,7002,Retail Products NL,656.25,0.0,580.26,127.14,553.25,-269.06,0.0,631.94,247.44,0.0,-19.82,0.0,815.08,218.18,138.57,310.4,150.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4139.65
COGS,Retail & Other,7003,Exempt Purchases,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1310.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1310.25
COGS,Retail & Other,7010,Imports EU – Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.55,76.32,0.0,20.0,1312.05,0.0,0.0,0.0,128.52,0.0,0.0,1199.11,1551.05,336.0,396.0,0.0,0.0,0.0,5200.6
COGS,Retail & Other,7011,Retail Products EU (HV),912.12,3539.76,2701.58,2437.73,1202.52,76.1,916.77,284.27,1074.15,900.61,1282.92,449.6,1661.76,361.2,108.76,1888.11,743.71,1559.91,1121.67,1366.83,585.93,126.82,691.89,204.44,614.34,915.9,723.62,180.91,0.0,0.0,28633.93
COGS,Retail & Other,7013,Imports EU – Overig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.67,0.0,0.0,251.81,0.0,0.0,340.48
COGS,Retail & Other,7021,Retail Products Outside EU,0.0,815.14,0.0,1310.39,358.0,44.53,-15.43,1193.11,157.72,2501.92,82.99,0.0,2844.16,0.0,147.01,356.61,1874.27,1193.92,1715.69,0.0,1776.92,0.0,437.36,0.0,150.84,138.25,0.0,1131.36,0.0,339.0,18553.76
COGS,Retail & Other,7022,Imports Outside EU – Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.23,-4.46,2500.56,0.0,0.0,346.2,0.0,0.0,2916.53
COGS,Retail & Other,7025,Small Equipment EU (COGS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.32,310.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,35.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.99
COGS,Packaging,4327,Packaging Materials,0.0,8.96,1817.46,696.53,1143.21,1467.43,1027.39,385.14,847.32,1103.85,283.23,630.81,459.36,298.69,888.74,1042.14,773.08,1123.46,820.34,786.09,763.61,356.73,513.01,319.43,164.76,1958.99,105.07,1698.19,0.0,0.0,21483.02
COGS,Packaging,4328,Packaging Materials EU,0.0,649.6,795.2,0.0,0.0,776.05,629.75,0.0,1050.7,0.0,0.0,562.0,504.45,395.45,0.0,984.0,0.0,984.0,0.0,0.0,0.0,769.0,346.0,0.0,229.0,502.0,0.0,229.0,0.0,0.0,9406.2
COGS,Packaging,7023,Packaging Import (Ext EU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1296.0,1267.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.94,0.0,1093.45,0.0,0.0,3759.32
COGS,Inventory Adj.,7990,Inventory Adjustment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11340.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11340.76
COGS,— Total,,TOTAL COGS,1568.37,5177.26,5992.4,18685.56,13720.96,12826.94,6993.36,10397.84,8996.45,12649.71,8529.55,-929.32,13348.11,8813.07,8946.9,16424.85,15468.73,14905.99,10287.86,10812.98,11230.41,9341.35,10093.55,10338.12,8547.77,9745.49,8166.65,16531.38,2356.62,3284.73,293253.64
—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Gross Profit,— Derived,,GROSS PROFIT,-1568.37,-5177.26,-5992.4,19282.09,33206.5,28674.72,34943.37,23530.84,31296.94,29953.38,28651.53,42039.9,19129.74,25100.82,45991.02,39746.99,55996.54,37235.62,48400.44,47858.57,36606.95,44708.92,28405.31,29581.5,29278.9,29100.13,43025.85,-13131.38,-1467.62,-3008.23,801401.31
Gross Profit,— Derived,,GROSS MARGIN %,,,,50.8,70.8,69.1,83.3,69.4,77.7,70.3,77.1,102.3,58.9,74.0,83.7,70.8,78.4,71.4,82.5,81.6,76.5,82.7,73.8,74.1,77.4,74.9,84.0,-386.2,-165.1,-1088.0,176.2
—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Labor,Freelancers,7100,Freelancers / Outsourced Work,7495.34,0.0,0.0,3406.25,7986.89,8426.75,8417.86,7862.49,7871.25,9616.66,8411.0,9075.13,8503.87,13122.0,11770.1,11094.18,12500.6,10454.91,9060.3,10147.05,12319.5,18149.72,11685.47,15561.12,9861.4,9847.25,13340.13,10682.62,13260.93,0.0,279930.77
Labor,Payroll,1613,Payroll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1580.07,1657.58,2069.4,1436.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6743.83
Labor,— Total,,TOTAL LABOR,7495.34,0.0,0.0,3406.25,7986.89,8426.75,8417.86,7862.49,7871.25,9616.66,8411.0,9075.13,8503.87,13122.0,11770.1,11094.18,12500.6,10454.91,10640.37,11804.63,14388.9,19586.5,11685.47,15561.12,9861.4,9847.25,13340.13,10682.62,13260.93,0.0,286674.6
—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Occupancy,Rent,4203,Rent,4333.33,4333.33,4333.33,4333.33,4333.33,4333.33,4333.33,4451.05,4451.05,4451.05,4451.05,4451.05,4451.05,4451.05,4451.05,4451.05,4451.05,4451.05,4451.05,4598.97,4598.97,4598.97,4598.97,4598.97,4598.97,4598.97,4598.97,4598.97,0.0,0.0,125136.64
Occupancy,Utilities,4210,Utilities (GWE),0.0,0.0,0.0,283.48,283.48,283.48,0.0,283.48,283.48,283.47,566.94,283.47,283.47,283.47,2337.04,0.0,0.0,476.86,476.86,476.86,771.36,575.03,607.1,-74.32,365.29,373.55,378.19,312.39,312.39,335.33,10842.15
Occupancy,Maintenance,4207,Maintenance,683.02,655.38,644.25,85.64,647.19,307.24,0.0,203.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,308.06,-97.11,623.0,486.5,0.0,0.0,2000.0,863.02,0.0,0.0,7668.19
Occupancy,Maintenance,4208,Cleaning,0.0,0.0,932.45,390.8,0.29,12.36,25.44,0.0,33.08,58.44,0.0,0.0,1467.42,120.0,0.0,49.62,2183.8,349.62,49.62,0.0,444.66,0.0,24.87,82.64,82.64,41.32,82.64,82.64,0.0,41.32,6555.67
Occupancy,Depreciation,4153,Depreciation Fit-out,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8941.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8941.0
Occupancy,Other,4290,Other Occupancy,300.0,330.0,1267.56,1621.23,463.8,358.99,862.75,149.78,631.0,699.17,377.91,486.57,698.97,291.31,459.46,3547.48,1463.63,788.51,2273.26,982.87,959.26,925.28,844.54,1108.13,726.77,459.27,3629.29,1661.59,356.62,559.1,29284.1
Occupancy,— Total,,TOTAL OCCUPANCY,5316.35,5318.71,7177.59,6714.48,5728.09,5295.4,5221.52,5087.31,5398.61,5531.13,5395.9,14162.09,6900.91,5145.83,7247.55,8048.15,8098.48,6066.04,7470.79,6058.7,7082.31,6002.17,6698.48,6201.92,5773.67,5473.11,10689.09,7518.61,669.01,935.75,188427.75
—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
SG&A,Marketing,4400,Marketing & Advertising,0.0,0.0,0.0,853.31,1230.76,425.6,590.89,141.61,1198.92,933.75,61.12,49.17,0.0,0.0,141.2,3406.28,3429.0,1391.83,475.66,283.19,659.0,84.82,1080.75,506.61,1077.96,71.98,43.66,604.0,0.0,710.0,19451.07
SG&A,Marketing,4403,Client Gifts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.68,0.0,32.11,41.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,705.53
SG&A,Marketing,4418,Advertising EU,0.0,0.0,0.0,0.0,0.0,0.0,93.64,39.16,127.94,4.95,343.93,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,2247.6,0.0,0.0,0.0,0.0,567.47,45.99,0.0,0.0,0.0,3969.68
SG&A,— Total,,Marketing & Advertising,0.0,0.0,0.0,853.31,1230.76,425.6,684.53,180.77,1326.86,938.7,405.05,349.17,0.0,0.0,141.2,3406.28,3429.0,1391.83,1107.34,482.19,2938.71,126.56,1080.75,506.61,1077.96,639.45,89.65,604.0,0.0,710.0,24126.28
SG&A,Travel & Entertainment,4405,Representation,0.0,0.0,215.01,97.15,0.0,427.66,325.75,241.75,421.2,360.5,479.77,471.98,29.58,0.0,150.72,331.84,204.82,326.54,169.18,1209.89,771.32,475.66,354.65,0.0,78.75,50.23,40.37,27.52,10.33,0.0,7272.17
SG&A,Travel & Entertainment,4406,Travel & Accommodation,1658.41,853.5,486.22,376.92,36.43,1424.34,142.37,47.04,2573.28,2455.54,247.22,1719.38,232.92,171.45,101.32,151.22,279.25,2914.09,973.05,5764.26,4961.59,10899.77,312.83,554.59,1.23,0.0,2455.5,2522.04,0.0,0.0,44315.76
SG&A,— Total,,Travel & Entertainment,1658.41,853.5,701.23,474.07,36.43,1852.0,468.12,288.79,2994.48,2816.04,726.99,2191.36,262.5,171.45,252.04,483.06,484.07,3240.63,1142.23,6974.15,5732.91,11375.43,667.48,554.59,79.98,50.23,2495.87,2549.56,10.33,0.0,51587.93
SG&A,Subscriptions,4606,Subscriptions,814.47,234.58,98.19,210.25,221.9,83.58,291.15,340.34,263.24,635.35,304.25,428.22,313.0,332.19,609.89,312.95,657.08,400.55,342.73,307.1,366.84,521.58,342.1,144.68,619.27,251.06,224.41,206.34,156.54,73.74,10107.57
SG&A,Subscriptions,4611,Subscriptions EU,40.47,27.98,130.94,57.87,43.57,743.27,55.2,119.63,271.65,228.42,157.76,165.84,205.97,143.83,151.3,143.51,143.05,401.55,81.46,105.18,105.18,105.18,108.97,99.95,157.81,84.8,84.8,84.8,0.0,7.0,4256.94
SG&A,— Total,,Subscriptions,854.94,262.56,229.13,268.12,265.47,826.85,346.35,459.97,534.89,863.77,462.01,594.06,518.97,476.02,761.19,456.46,800.13,802.1,424.19,412.28,472.02,626.76,451.07,244.63,777.08,335.86,309.21,291.14,156.54,80.74,14364.51
SG&A,Professional Services,4700,Accounting & Advisory,77.5,165.0,0.0,125.0,0.0,0.0,522.5,0.0,0.0,490.0,0.0,0.0,700.0,0.0,0.0,440.0,0.0,675.0,505.0,0.0,0.0,602.5,0.0,0.0,630.0,0.0,0.0,605.0,0.0,0.0,5537.5
SG&A,Professional Services,4703,Legal Costs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2368.22,1500.0,2167.19,2245.57,707.72,6500.0,250.0,568.75,38.48,0.0,1059.1,7917.25,1485.0,0.0,0.0,637.5,280.0,0.0,0.0,0.0,0.0,27724.78
SG&A,Professional Services,4704,Other Advisory,4850.0,1950.0,1200.0,0.0,855.0,2300.0,3550.0,4958.83,1000.0,3500.0,1200.0,2500.0,1400.0,1160.0,1000.0,1000.0,1243.25,2148.74,3093.51,500.0,1027.48,0.0,1397.42,566.0,500.0,1110.0,1000.0,0.0,500.0,1500.0,47010.23
SG&A,Professional Services,7014,Advisory Services EU,8490.0,0.0,1780.0,480.0,250.0,225.0,250.0,775.0,350.0,1300.0,0.0,0.0,3275.0,0.0,0.0,1120.0,860.0,480.0,1830.0,750.0,0.0,750.0,855.0,435.0,2400.0,0.0,0.0,0.0,0.0,0.0,26655.0
SG&A,— Total,,Professional Services,13417.5,2115.0,2980.0,605.0,1105.0,2525.0,4322.5,5733.83,1350.0,7658.22,2700.0,4667.19,7620.57,1867.72,7500.0,2810.0,2672.0,3342.22,5428.51,2309.1,8944.73,2837.5,2252.42,1001.0,4167.5,1390.0,1000.0,605.0,500.0,1500.0,106927.51
SG&A,Payment Processing,4754,Adyen Costs,0.0,0.0,0.0,869.74,1148.81,965.23,956.63,773.47,984.26,934.69,902.69,863.92,773.05,900.87,1076.58,1192.95,1255.33,1351.51,1298.81,1290.06,1339.06,0.0,2312.74,929.82,872.81,1021.41,1372.32,5.4,0.0,0.0,25392.16
SG&A,Payment Processing,4755,PayPal Costs,0.0,0.0,0.0,118.12,178.49,113.52,141.24,126.36,175.96,53.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,907.1
SG&A,Payment Processing,4758,Tebi / Other Payments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.37,28.79,3.66,10.91,0.0,0.0,81.73
SG&A,— Total,,Payment Processing,0.0,0.0,0.0,987.86,1327.3,1078.75,1097.87,899.83,1160.22,988.1,902.69,863.92,773.05,900.87,1076.58,1192.95,1255.33,1351.51,1298.81,1290.06,1339.06,0.0,2312.74,929.82,911.18,1050.2,1375.98,16.31,0.0,0.0,26380.99
SG&A,Shipping,4601,Postage & Shipping,0.0,132.36,0.0,51.75,280.77,80.36,250.53,100.12,95.66,774.72,342.4,444.26,585.28,559.29,165.41,622.98,418.58,1072.0,1061.32,160.6,510.78,402.33,366.45,1353.72,474.0,271.72,713.43,1170.59,238.46,172.72,12872.59
SG&A,— Total,,Shipping / Postage,0.0,132.36,0.0,51.75,280.77,80.36,250.53,100.12,95.66,774.72,342.4,444.26,585.28,559.29,165.41,622.98,418.58,1072.0,1061.32,160.6,510.78,402.33,366.45,1353.72,474.0,271.72,713.43,1170.59,238.46,172.72,12872.59
SG&A,Bank Charges,4753,Bank Charges,62.53,1.5,1.5,150.5,13.49,13.49,182.15,157.04,193.62,183.41,277.55,650.9,241.13,65.97,456.55,187.14,381.45,313.91,246.64,194.61,232.02,76.62,198.96,141.1,205.81,148.98,200.37,2580.34,45.15,27.76,7832.19
SG&A,— Total,,Bank Charges,62.53,1.5,1.5,150.5,13.49,13.49,182.15,157.04,193.62,183.41,277.55,650.9,241.13,65.97,456.55,187.14,381.45,313.91,246.64,194.61,232.02,76.62,198.96,141.1,205.81,148.98,200.37,2580.34,45.15,27.76,7832.19
SG&A,Equipment,4302,Equipment Leasing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,523.0,708.0,669.89,236.0,236.0,729.27,236.0,236.0,479.27,236.0,236.0,479.27,688.19,0.0,0.0,5692.89
SG&A,Equipment,4303,Small Equipment Purchases,107.35,238.1,2535.98,2212.96,738.6,697.65,103.31,307.23,672.88,707.03,815.8,124.6,0.0,165.27,657.16,316.85,783.16,0.0,228.76,76.86,570.18,384.78,240.21,366.83,761.7,17.34,250.54,848.26,642.98,119.83,15692.2
SG&A,Equipment,4310,Machine Repair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.0,0.0,0.0,0.0,0.0,245.0,344.18,0.0,0.0,0.0,0.0,275.0,0.0,0.0,0.0,570.0,0.0,0.0,0.0,450.0,0.0,2199.18
SG&A,— Total,,Equipment & Repairs,107.35,238.1,2535.98,2212.96,738.6,697.65,103.31,307.23,672.88,1022.03,815.8,124.6,0.0,165.27,902.16,1184.03,1491.16,669.89,464.76,312.86,1574.45,620.78,476.21,846.1,1567.7,253.34,729.81,1536.45,1092.98,119.83,23584.27
SG&A,Depreciation,4159,Depreciation Inventaris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18587.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18587.0
SG&A,— Total,,Depreciation Inventaris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18587.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18587.0
SG&A,Other SG&A,4408,Canteen Costs,0.0,0.0,62.69,265.69,290.29,32.48,135.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.39,859.91
SG&A,Other SG&A,4421,Uniforms,0.0,0.0,0.0,346.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605.14,951.69
SG&A,Other SG&A,4423,Other Sales Costs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.34,0.0,0.0,0.0,0.0,23.14,0.0,0.0,0.0,0.0,0.0,330.48
SG&A,Other SG&A,4508,Car Rental,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.96
SG&A,Other SG&A,4510,Fines & Penalties,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0
SG&A,Other SG&A,4609,Other Admin Costs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.93,0.0,21.82,0.0,0.0,0.0,89.75
SG&A,Other SG&A,4650,Liability Insurance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.19,22.79,45.58,22.79,22.79,99.18,22.79,22.79,0.0,45.58,22.79,23.47,23.47,23.47,23.47,23.47,0.0,0.0,478.62
SG&A,Other SG&A,4651,Other Insurance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.96,3.96,3.96,182.38,3.96,198.22
SG&A,Other SG&A,4756,Payment Differences,0.0,0.0,0.0,0.0,-0.01,-0.58,45.81,0.0,-1.0,-0.02,-1.0,-17.16,1.44,-0.34,0.47,-0.51,-0.22,0.78,-0.01,0.0,0.18,4.76,3.35,-0.34,-5.35,0.35,-0.22,-17.32,0.0,0.44,13.5
SG&A,Other SG&A,4757,Tax Fines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
SG&A,Other SG&A,4798,Other Costs,0.0,9.0,0.0,28.15,7.97,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.2
SG&A,Other SG&A,7980,COGS Payment Differences,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.99,0.0,0.0,-1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,-0.5,-0.84,0.0,-0.3,0.23,-0.61,0.0,0.0,0.72
SG&A,— Total,,Other SG&A,0.0,9.0,62.69,640.39,298.25,31.9,181.26,0.0,2.99,-0.02,-1.0,-18.49,35.63,22.45,46.05,22.28,22.57,99.96,22.78,1097.09,0.26,50.34,75.64,22.29,109.19,27.48,49.26,9.5,182.38,682.93,3785.05
SG&A,— Total,,TOTAL SG&A,16100.73,3612.02,6510.53,6243.96,5296.07,7531.6,7636.62,8127.58,8331.6,15244.97,6631.49,28453.97,10037.13,4229.04,11301.18,10365.18,10954.29,12284.05,11196.58,13232.94,21744.94,16116.32,7881.72,5599.86,9370.4,4167.26,6963.58,9362.89,2225.84,3293.98,290048.32
—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
