category,Currency,product_name,gtin,Ledger,ProductStatus,items_sold,Avg_ItemSales_Price,net_revenue_9pct,gross_revenue_9pct,net_revenue_21pct,gross_revenue_21pct,net_revenue_0pct,Total_Revenueexcl._VAT,Total_Revenueincl._VAT,Buying_price_excl._tax,total_cost,margin_eur,margin_pct,Markup,Revenue_%of_Category,Revenue_%of_Total,period,source_file,source,net_revenue_eur,gross_revenue_eur
Matcha Powder,EUR,"LERA Matcha, Uji",4000211,788865,ACTIVE,46,41.634783,1757.064216,1915.2,0.0,0.0,0,1757.064216,1915.2,0.0,0.0,1757.064216,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,1757.06,1915.2
Matcha Tools,EUR,Lera Matcha Whisk,4000556,788865,ACTIVE,52,17.0,811.00916,884.0,0.0,0.0,0,811.00916,884.0,0.0,0.0,811.00916,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,811.01,884.0
Matcha Tools,EUR,Lera Matcha Bowl,4000532,788865,ACTIVE,31,28.0,796.330263,868.0,0.0,0.0,0,796.330263,868.0,0.0,0.0,796.330263,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,796.33,868.0
Matcha Tools,EUR,Glass Matcha Bowl,4000457,788865,ACTIVE,16,25.0,366.97248,400.0,0.0,0.0,0,366.97248,400.0,0.0,0.0,366.97248,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,366.97,400.0
Matcha Tools,EUR,Lera Whisk Holder (Yellow),4000563,788865,ACTIVE,24,14.5,319.266048,348.0,0.0,0.0,0,319.266048,348.0,0.0,0.0,319.266048,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,319.27,348.0
Matcha Tools,EUR,LERA Matcha Sifter,4000471,788865,ACTIVE,27,12.0,297.247698,324.0,0.0,0.0,0,297.247698,324.0,0.0,0.0,297.247698,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,297.25,324.0
Matcha Tools,EUR,Lera Matcha Spoon,4000549,788865,ACTIVE,27,9.0,222.935787,243.0,0.0,0.0,0,222.935787,243.0,0.0,0.0,222.935787,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,222.94,243.0
Matcha Tools,EUR,Bamboo Scoop,4000440,788865,ACTIVE,15,4.0,55.045875,60.0,0.0,0.0,0,55.045875,60.0,0.0,0.0,55.045875,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,55.05,60.0
Matcha Tools,EUR,Lera Bag,4000525,788865,ACTIVE,2,1.5,2.752294,3.0,0.0,0.0,0,2.752294,3.0,0.0,0.0,2.752294,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,2.75,3.0
Pastry,EUR,Caramelized White Chocolate & Hazelnut Cookie,4000204,788865,ACTIVE,14,4.132143,53.073397,57.85,0.0,0.0,0,53.073397,57.85,0.0,0.0,53.073397,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,53.07,57.85
Pastry,EUR,Matcha White Chocolate Cookie,4000181,788865,ACTIVE,11,4.113636,41.513763,45.25,0.0,0.0,0,41.513763,45.25,0.0,0.0,41.513763,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,41.51,45.25
Pastry,EUR,Matcha Honey Cake,4000174,788865,ACTIVE,6,5.7,31.376148,34.2,0.0,0.0,0,31.376148,34.2,0.0,0.0,31.376148,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,31.38,34.2
Pastry,EUR,Matcha Basque Cheesecake,4000167,788865,ACTIVE,3,5.5,15.137616,16.5,0.0,0.0,0,15.137616,16.5,0.0,0.0,15.137616,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,15.14,16.5
Pastry,EUR,Matcha Raspberry Madeleine,4000235,788865,ACTIVE,3,4.15,11.422019,12.45,0.0,0.0,0,11.422019,12.45,0.0,0.0,11.422019,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,11.42,12.45
Other,EUR,Lavoratti 1938 - Milk and Pistachio Chocolate Bar,4001133,788865,ARCHIVED,3,11.0,30.275229,33.0,0.0,0.0,0,30.275229,33.0,0.0,0.0,30.275229,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,30.28,33.0
Other,EUR,Chocolate Caramel Madeleine,4001300,788865,ACTIVE,7,4.1,26.330276,28.7,0.0,0.0,0,26.330276,28.7,0.0,0.0,26.330276,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,26.33,28.7
Other,EUR,SONDER - Rwanda - Single Drip Bag,4001355,788865,ARCHIVED,8,3.2,23.48624,25.6,0.0,0.0,0,23.48624,25.6,0.0,0.0,23.48624,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,23.49,25.6
Other,EUR,SONDER - Brazil - Single Drip Bag,4001348,788865,ARCHIVED,8,2.8,20.550456,22.4,0.0,0.0,0,20.550456,22.4,0.0,0.0,20.550456,0.0,,0.204193,0.002019,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,20.55,22.4
Accessoires & Merch,EUR,Hetkinen Pine Hand Wash,4001416,788865,ACTIVE,7,31.0,0.0,0.0,179.338845,217.0,0,179.338845,217.0,0.0,0.0,179.338845,0.0,,,,2026-04 to 2026-05,ProductReport_2026-04-01_2026-05-31__generated_at_2026-06-24_15.12.csv,Tebi,179.34,217.0
